"month_key","month_start_date","count_incidents_all","count_incidents_coa","count_incidents_tc","count_incidents_other","count_incidents_coa_or_tc","count_incidents_coa_p1","count_incidents_coa_p2","count_incidents_coa_p3","count_incidents_coa_p4","count_incidents_coa_p5","count_incidents_tc_p1","count_incidents_tc_p2","count_incidents_tc_p3","count_incidents_tc_p4","count_incidents_tc_p5","percent_on_time_all","percent_on_time_coa","percent_on_time_tc","percent_on_time_coa_p1","percent_on_time_coa_p2","percent_on_time_coa_p3","percent_on_time_coa_p4","percent_on_time_coa_p5","percent_on_time_tc_p1","percent_on_time_tc_p2","percent_on_time_tc_p3","percent_on_time_tc_p4","percent_on_time_tc_p5","percent_on_time_target"
"201010","2010-10-01T00:00:00.000","8910","7571","1321","18","8892","533","2103","1039","2938","958","81","380","199","498","163","95.769600","97.317600","86.420900","94.154400","96.779300","99.260800","98.823500","94.572700","79.729700","77.218900","89.772700","95.666600","88.111800","90"
"201011","2010-11-01T00:00:00.000","7826","6564","1232","30","7796","401","1896","931","2540","796","83","346","165","473","165","96.006800","97.227800","89.400000","92.997100","96.728900","98.942400","98.427800","95.492900","80.769200","82.965200","89.102500","96.753200","92.907800","90"
"201012","2010-12-01T00:00:00.000","8182","6858","1290","34","8148","458","1892","903","2655","950","97","363","177","501","152","95.449700","96.877200","87.585500","93.154000","96.633700","98.669800","98.243600","94.502900","75.280800","81.845200","86.335400","96.039600","92.537300","90"
"201101","2011-01-01T00:00:00.000","8287","7081","1185","21","8266","466","2017","1025","2573","1000","77","336","184","450","138","95.921800","97.134200","88.357500","95.402200","96.340100","97.987200","98.817200","95.248600","66.666600","86.816700","90.797500","94.425000","88.095200","90"
"201102","2011-02-01T00:00:00.000","8241","6969","1255","17","8224","426","2058","982","2520","983","79","382","198","429","167","94.516900","96.139300","84.994900","92.207700","96.184800","97.777700","97.969500","92.519200","64.383500","81.065000","85.310700","93.750000","88.590600","90"
"201103","2011-03-01T00:00:00.000","8764","7449","1302","13","8751","514","2091","1056","2832","956","82","358","216","489","157","95.457600","96.511600","89.248300","93.640300","96.920600","97.684200","98.073900","92.419100","78.666600","85.758500","89.898900","95.161200","88.965500","90"
"201104","2011-04-01T00:00:00.000","8848","7506","1319","23","8825","475","2219","1064","2790","958","84","389","197","498","151","95.787400","97.465200","86.074700","94.348800","97.230600","98.543100","98.919100","95.094700","71.232800","79.083000","90.960400","92.401200","90.140800","90"
"201105","2011-05-01T00:00:00.000","9166","7704","1432","30","9136","534","2294","1059","2869","948","115","407","205","527","178","95.838300","97.369200","87.174800","93.073500","97.169300","98.111200","98.524900","96.704500","71.428500","83.098500","89.673900","94.801200","87.417200","90"
"201106","2011-06-01T00:00:00.000","9102","7743","1339","20","9082","530","2258","1078","2849","1028","82","407","200","467","183","95.698200","97.089200","87.406700","92.672400","96.809000","97.946600","98.258100","96.573200","74.647800","83.149100","88.636300","94.822000","87.012900","90"
"201107","2011-07-01T00:00:00.000","9121","7762","1349","10","9111","561","2295","1084","2801","1021","111","406","183","485","164","95.330800","96.786700","86.728100","92.638000","96.404200","98.057200","98.650000","94.687500","71.578900","80.939200","87.272700","94.285700","93.918900","90"
"201108","2011-08-01T00:00:00.000","9418","8014","1389","15","9403","546","2382","1137","2881","1068","87","386","212","522","182","95.639800","97.081300","86.968300","95.238000","95.905000","98.224800","98.794500","95.940500","73.333300","81.686000","84.736800","95.142800","89.726000","90"
"201109","2011-09-01T00:00:00.000","8826","7434","1376","16","8810","536","2163","1042","2706","987","79","373","219","509","196","95.875000","97.077000","89.033400","94.505400","96.927800","98.294200","98.045600","95.512800","72.857100","83.582000","87.958100","96.865200","93.167700","90"
"201110","2011-10-01T00:00:00.000","9200","7837","1342","21","9179","493","2361","1062","2894","1027","76","389","209","524","144","95.355200","96.771200","86.363600","93.665100","96.569300","96.615300","98.421300","95.336700","64.788700","79.761900","90.860200","94.339600","89.430800","90"
"201111","2011-11-01T00:00:00.000","8386","7080","1286","20","8366","490","1940","1028","2682","940","94","368","206","458","160","96.448500","97.615800","89.990600","94.050300","97.176700","98.101200","98.877600","97.068700","73.563200","84.365700","93.750000","97.385600","92.413700","90"
"201112","2011-12-01T00:00:00.000","8221","6976","1228","17","8204","489","1944","942","2666","935","95","357","199","421","156","96.097600","97.371100","88.845400","92.359500","97.122300","98.016300","98.642000","97.126400","78.651600","83.692300","89.617400","96.153800","91.366900","90"
"201201","2012-01-01T00:00:00.000","8510","7243","1254","13","8497","520","2050","1077","2612","984","89","370","192","437","166","96.153300","97.507300","87.887800","92.933600","96.878300","98.065100","99.178900","97.210300","70.000000","85.119000","88.764000","95.312500","89.932800","90"
"201202","2012-02-01T00:00:00.000","8469","7215","1245","9","8460","483","2045","1019","2725","943","101","358","170","452","164","95.980600","97.024600","89.853600","93.473100","96.419000","97.737000","98.684200","95.720700","86.666600","84.894200","90.625000","94.863000","92.105200","90"
"201203","2012-03-01T00:00:00.000","10031","8681","1328","22","10009","595","2478","1108","3366","1134","79","362","207","518","162","95.828200","96.987400","87.927700","93.383700","96.411100","97.384300","98.919600","95.446000","70.666600","84.709400","87.234000","94.478500","90.441100","90"
"201204","2012-04-01T00:00:00.000","9498","8047","1437","14","9484","596","2344","1083","3000","1024","94","396","227","526","194","95.322300","96.485200","88.603200","91.697400","95.691200","98.582900","98.217600","94.943200","74.157300","82.584200","89.655100","95.677200","93.023200","90"
"201205","2012-05-01T00:00:00.000","9971","8561","1398","12","9959","613","2458","1222","3183","1085","104","398","200","516","180","95.578500","96.766400","87.876000","92.222200","96.356200","98.176800","98.746600","94.210000","76.666600","80.617900","89.385400","96.562500","91.447300","90"
"201206","2012-06-01T00:00:00.000","9747","8368","1362","17","9730","565","2472","1126","3171","1034","87","381","198","500","196","95.925500","97.050700","88.745300","91.071400","96.615500","98.101800","98.553300","96.646300","64.197500","85.964900","89.655100","96.518900","90.643200","90"
"201207","2012-07-01T00:00:00.000","9777","8381","1376","20","9757","587","2451","1119","3134","1090","99","381","194","538","164","96.291600","97.625500","87.720900","93.307000","97.490800","98.201700","98.799600","97.019200","73.863600","79.881600","89.349100","96.417900","92.413700","90"
"201208","2012-08-01T00:00:00.000","10056","8588","1423","45","10011","528","2425","1194","3281","1160","93","426","196","518","190","95.251400","96.772800","85.839900","92.207700","95.502500","97.676500","98.468400","96.900600","60.493800","82.133300","85.875700","94.545400","89.080400","90"
"201209","2012-09-01T00:00:00.000","9676","8260","1408","8","9668","543","2468","1084","3123","1042","120","383","208","551","146","95.892800","96.829500","90.090000","92.077000","95.483000","98.000000","98.769300","96.629200","68.627400","88.596400","89.839500","97.159000","92.125900","90"
"201210","2012-10-01T00:00:00.000","9553","8213","1314","26","9527","558","2343","1147","3158","1007","83","373","197","503","158","95.768000","96.819700","88.983800","89.917600","96.294500","98.463000","98.274200","96.346500","70.512800","86.627900","88.068100","96.202500","89.928000","90"
