"eoc_activation_start_date","eoc_activation_end_date","hazard","harzard_details"
"2015-03-04T00:00:00.000","2015-03-04T00:00:00.000","Winter Weather","N/A"
"2015-05-27T00:00:00.000","2015-05-29T00:00:00.000","Flooding","Memorial Day Flooding, with multiple F1 tornados. Presidential IA and PA "
"2015-06-16T00:00:00.000","2015-06-16T00:00:00.000","Flooding","Tropical Storm Bill. Presidential IA and PA from Memorial Day storms extended to this event."
"2014-01-24T00:00:00.000","2014-01-24T00:00:00.000","Winter Weather","N/A"
"2014-01-28T00:00:00.000","2014-01-28T00:00:00.000","Winter Weather","N/A"
"2014-02-07T00:00:00.000","2014-02-07T00:00:00.000","Winter Weather","N/A"
"2014-02-11T00:00:00.000","2014-02-11T00:00:00.000","Winter Weather","N/A"
"2014-03-04T00:00:00.000","2014-03-04T00:00:00.000","Winter Weather","Limited acitivation"
"2014-05-27T00:00:00.000","2014-05-27T00:00:00.000","Flooding","Senior Deputy Jessica Hollis line of duty death "
"2014-06-09T00:00:00.000","2014-06-10T00:00:00.000","Motorcade Traffic Management","N/A"
"2014-08-12T00:00:00.000","2014-08-12T00:00:00.000","Motorcade Traffic Management","N/A"
"2014-09-18T00:00:00.000","2014-09-19T00:00:00.000","Flooding","N/A"
"2014-10-31T00:00:00.000","2014-11-02T00:00:00.000","Formula One Race","N/A"
